Month,Airline,Service_Country,Flights_In,Passengers_In,Seats_In,Flights_Out,Passengers_Out,Seats_Out,Year,Month_num
May-91,Qantas Airways,Papua New Guinea,28,2281,4414,28,1929,4414,1991,5
May-91,Qantas Airways,Philippines,4,700,860,4,482,860,1991,5
May-91,Qantas Airways,Singapore,66,7863,17579,66,9027,17579,1991,5
May-91,Qantas Airways,Solomon Islands,4,124,424,4,189,424,1991,5
May-91,Qantas Airways,Thailand,31,3152,6522,31,4552,6522,1991,5
May-91,Qantas Airways,UK,62,11660,24056,62,15853,24056,1991,5
May-91,Qantas Airways,USA,111,16570,31371,110,19906,30897,1991,5
May-91,Qantas Airways,Zimbabwe,9,1388,3573,9,1605,3573,1991,5
May-91,Royal Brunei Airlines,Brunei,13,800,1924,14,1099,2072,1991,5
May-91,Singapore Airlines,Singapore,98,19636,35915,98,22837,35815,1991,5
May-91,Solomon Airlines,Solomon Islands,0,399,0,0,416,0,1991,5
May-91,Thai Airways International,Thailand,36,4539,12647,35,6785,12400,1991,5
May-91,Union de Transports Aeriens,France,9,611,2974,10,855,3390,1991,5
May-91,Union de Transports Aeriens,New Caledonia,10,454,2080,9,479,1664,1991,5
May-91,Union de Transports Aeriens,Tahiti,4,8,504,5,20,630,1991,5
May-91,United Airlines,USA,62,15131,23660,62,16185,23300,1991,5
May-91,Yugoslav Airlines,Yugoslavia,9,824,2493,9,1572,2493,1991,5
Jun-91,Aerolineas Argentinas,Argentina,4,533,1200,4,543,1200,1991,6
Jun-91,Air Caledonie,New Caledonia,17,1209,2142,17,1299,2142,1991,6
Jun-91,Air China,China,5,746,1350,5,928,1350,1991,6
Jun-91,Nauru Airlines,Nauru,8,198,1960,9,196,2263,1991,6
Jun-91,Air New Zealand,New Zealand,228,31932,48418,227,30746,48337,1991,6
Jun-91,Air New Zealand,USA,0,729,1316,0,991,1410,1991,6
Jun-91,Air Niugini,Papua New Guinea,53,3418,5862,47,3425,5353,1991,6
Jun-91,Fiji Airways,Fiji,43,3262,10387,43,4793,10387,1991,6
Jun-91,Air Vanuatu,Vanuatu,19,1644,2755,19,1951,2755,1991,6
Jun-91,Alitalia,Italy,13,1627,3897,13,3223,3897,1991,6
Jun-91,All Nippon Airways,Japan,20,5383,7480,20,5018,7480,1991,6
Jun-91,American Airlines,USA,16,2222,3632,16,2058,3632,1991,6
